artist_id,artist_name
1,Jin
2,j-hope
3,Jimin
4,BTS
5,KATSEYE
6,Agust D
7,RM
8,LE SSERAFIM
9,Young Cister
10,Jung Kook
11,V
12,Taylor Swift
13,Bad Bunny
14,Tablo
15,Sabrina Carpenter
16,Rauw Alejandro
17,HUNTR/X
18,The Marías
19,Plan B
20,Tainy
21,Easykid
22,bôa
23,Chappell Roan
24,Joji
25,sombr
26,Danny Ocean
27,Billie Eilish
28,"Tyler, The Creator"
29,KAROL G
30,Marc Seguí
31,Maluma
32,NewJeans
33,CORTIS
34,ILLIT
35,J Balvin
36,The Weeknd
37,José José
38,Doja Cat
39,Feid
40,Santos Bravos
41,Megan Thee Stallion
42,BLACKPINK
43,Zion
44,Gorillaz
45,Fuerza Regida
46,Radiohead
47,W Sound
48,Arctic Monkeys
49,Ariana Grande
50,Lady Gaga
51,The Police
52,"Héctor ""El Father"""
53,Soda Stereo
54,Adolescent's Orquesta
55,Tame Impala
56,Justin Bieber
57,Jennie
58,Coldplay
59,Billy Idol
60,Beéle
61,Linkin Park
62,Dennis
63,TWICE
64,Bruno Mars
65,Milo j
