rank,track_name,artist,listeners,url,country,snapshot_date
1,Don’t Say You Love Me,Jin,2312,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,Peru,2025-10-23
2,Killin' It Girl (feat. GloRilla),j-hope,1866,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),Peru,2025-10-23
3,Who,Jimin,1811,https://www.last.fm/music/Jimin/_/Who,Peru,2025-10-23
4,Mona Lisa,j-hope,1781,https://www.last.fm/music/j-hope/_/Mona+Lisa,Peru,2025-10-23
5,Life Goes On,BTS,1626,https://www.last.fm/music/BTS/_/Life+Goes+On,Peru,2025-10-23
6,Haegeum,Agust D,1601,https://www.last.fm/music/Agust+D/_/Haegeum,Peru,2025-10-23
7,QLOO*,Young Cister,1577,https://www.last.fm/music/Young+Cister/_/QLOO%2A,Peru,2025-10-23
8,Gabriela,KATSEYE,1568,https://www.last.fm/music/KATSEYE/_/Gabriela,Peru,2025-10-23
9,Wild Flower (with youjeen),RM,1560,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),Peru,2025-10-23
10,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1504,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),Peru,2025-10-23
11,The Fate of Ophelia,Taylor Swift,1401,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,Peru,2025-10-23
12,Standing Next to You,Jung Kook,1376,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,Peru,2025-10-23
13,Running Wild,Jin,1363,https://www.last.fm/music/Jin/_/Running+Wild,Peru,2025-10-23
14,Winter Ahead (with PARK HYO SHIN),V,1353,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),Peru,2025-10-23
15,BAILE INoLVIDABLE,Bad Bunny,1344,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,Peru,2025-10-23
16,FRI(END)S,V,1337,https://www.last.fm/music/V/_/FRI(END)S,Peru,2025-10-23
17,EoO,Bad Bunny,1324,https://www.last.fm/music/Bad+Bunny/_/EoO,Peru,2025-10-23
18,DNA,BTS,1243,https://www.last.fm/music/BTS/_/DNA,Peru,2025-10-23
19,FAKE LOVE,BTS,1222,https://www.last.fm/music/BTS/_/FAKE+LOVE,Peru,2025-10-23
20,Yes or No,Jung Kook,1212,https://www.last.fm/music/Jung+Kook/_/Yes+or+No,Peru,2025-10-23
21,Gnarly,KATSEYE,1201,https://www.last.fm/music/KATSEYE/_/Gnarly,Peru,2025-10-23
22,Tears,Sabrina Carpenter,1187,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,Peru,2025-10-23
23,Sweet Dreams (feat. Miguel),j-hope,1185,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel),Peru,2025-10-23
24,Qué Pasaría...,Rauw Alejandro,1171,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...,Peru,2025-10-23
25,Stop The Rain (TABLO X RM),Tablo,1152,https://www.last.fm/music/Tablo/_/Stop+The+Rain+(TABLO+X+RM),Peru,2025-10-23
26,3D (feat. Jack Harlow),Jung Kook,1128,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),Peru,2025-10-23
27,Golden,HUNTR/X,1127,https://www.last.fm/music/HUNTR%2FX/_/Golden,Peru,2025-10-23
28,VOY A LLeVARTE PA PR,Bad Bunny,1094,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR,Peru,2025-10-23
29,Killin' It Girl (Solo Version),j-hope,1092,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version),Peru,2025-10-23
30,Run BTS,BTS,1090,https://www.last.fm/music/BTS/_/Run+BTS,Peru,2025-10-23
31,Like Crazy,Jimin,1084,https://www.last.fm/music/Jimin/_/Like+Crazy,Peru,2025-10-23
32,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,1069,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version),Peru,2025-10-23
33,Loser (feat. YENA),Jin,1053,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA),Peru,2025-10-23
34,Rope It,Jin,1050,https://www.last.fm/music/Jin/_/Rope+It,Peru,2025-10-23
35,Love Me Again,V,1037,https://www.last.fm/music/V/_/Love+Me+Again,Peru,2025-10-23
36,i wonder... (with Jung Kook of BTS),j-hope,1037,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS),Peru,2025-10-23
37,MORE,j-hope,1035,https://www.last.fm/music/j-hope/_/MORE,Peru,2025-10-23
38,Dynamite,BTS,1034,https://www.last.fm/music/BTS/_/Dynamite,Peru,2025-10-23
39,Nothing Without Your Love,Jin,1030,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love,Peru,2025-10-23
40,VeLDÁ,Bad Bunny,1029,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81,Peru,2025-10-23
41,Opalite,Taylor Swift,1018,https://www.last.fm/music/Taylor+Swift/_/Opalite,Peru,2025-10-23
42,Super Tuna,Jin,1016,https://www.last.fm/music/Jin/_/Super+Tuna,Peru,2025-10-23
43,Seven (feat. Latto),Jung Kook,1015,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),Peru,2025-10-23
44,Please Don't Change (feat. DJ Snake),Jung Kook,1002,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake),Peru,2025-10-23
45,NUEVAYoL,Bad Bunny,943,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,Peru,2025-10-23
46,Sienna,The Marías,939,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,Peru,2025-10-23
47,Background,Jin,923,https://www.last.fm/music/Jin/_/Background,Peru,2025-10-23
48,Heart on the Window (with WENDY),Jin,918,https://www.last.fm/music/Jin/_/Heart+on+the+Window+(with+WENDY),Peru,2025-10-23
49,LOST!,RM,915,https://www.last.fm/music/RM/_/LOST%21,Peru,2025-10-23
50,Interlude : Showtime,Jimin,913,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime,Peru,2025-10-23
51,Permission to Dance,BTS,900,https://www.last.fm/music/BTS/_/Permission+to+Dance,Peru,2025-10-23
52,Be Mine,Jimin,900,https://www.last.fm/music/Jimin/_/Be+Mine,Peru,2025-10-23
53,PIXELATED KISSES,Joji,900,https://www.last.fm/music/Joji/_/PIXELATED+KISSES,Peru,2025-10-23
54,Manchild,Sabrina Carpenter,880,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,Peru,2025-10-23
55,Shiny,Easykid,874,https://www.last.fm/music/Easykid/_/Shiny,Peru,2025-10-23
56,KLOuFRENS,Bad Bunny,870,https://www.last.fm/music/Bad+Bunny/_/KLOuFRENS,Peru,2025-10-23
57,Boy With Luv (feat. Halsey),BTS,868,https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey),Peru,2025-10-23
58,Intro,j-hope,866,https://www.last.fm/music/j-hope/_/Intro,Peru,2025-10-23
59,Somebody,Jung Kook,866,https://www.last.fm/music/Jung+Kook/_/Somebody,Peru,2025-10-23
60,Es un Secreto,Plan B,865,https://www.last.fm/music/Plan+B/_/Es+un+Secreto,Peru,2025-10-23
61,Set Me Free Pt.2,Jimin,861,https://www.last.fm/music/Jimin/_/Set+Me+Free+Pt.2,Peru,2025-10-23
62,Interlude,BTS,855,https://www.last.fm/music/BTS/_/Interlude,Peru,2025-10-23
63,MOJABI GHOST,Tainy,854,https://www.last.fm/music/Tainy/_/MOJABI+GHOST,Peru,2025-10-23
64,Still With You,Jung Kook,851,https://www.last.fm/music/Jung+Kook/_/Still+With+You,Peru,2025-10-23
65,Blood Sweat & Tears,BTS,848,https://www.last.fm/music/BTS/_/Blood+Sweat+&+Tears,Peru,2025-10-23
66,Khé?,Rauw Alejandro,846,https://www.last.fm/music/Rauw+Alejandro/_/Kh%C3%A9%3F,Peru,2025-10-23
67,Slow Dancing,V,844,https://www.last.fm/music/V/_/Slow+Dancing,Peru,2025-10-23
68,= (Equal Sign),j-hope,844,https://www.last.fm/music/j-hope/_/=+(Equal+Sign),Peru,2025-10-23
69,Change pt.2,RM,838,https://www.last.fm/music/RM/_/Change+pt.2,Peru,2025-10-23
70,Duvet,bôa,836,https://www.last.fm/music/b%C3%B4a/_/Duvet,Peru,2025-10-23
71,Touch,KATSEYE,834,https://www.last.fm/music/KATSEYE/_/Touch,Peru,2025-10-23
72,Permission to Dance - Live,BTS,833,https://www.last.fm/music/BTS/_/Permission+to+Dance+-+Live,Peru,2025-10-23
73,Another Level,Jin,833,https://www.last.fm/music/Jin/_/Another+Level,Peru,2025-10-23
74,NEURON (with Gaeko & YOON MIRAE),j-hope,830,https://www.last.fm/music/j-hope/_/NEURON+(with+Gaeko+&+YOON+MIRAE),Peru,2025-10-23
75,"To Me, Today",Jin,827,"https://www.last.fm/music/Jin/_/To+Me,+Today",Peru,2025-10-23
76,Daechwita,Agust D,825,https://www.last.fm/music/Agust+D/_/Daechwita,Peru,2025-10-23
77,"Good Luck, Babe!",Chappell Roan,818,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21",Peru,2025-10-23
78,With the Clouds,Jin,813,https://www.last.fm/music/Jin/_/With+the+Clouds,Peru,2025-10-23
79,back to friends,sombr,812,https://www.last.fm/music/sombr/_/back+to+friends,Peru,2025-10-23
80,DtMF,Bad Bunny,811,https://www.last.fm/music/Bad+Bunny/_/DtMF,Peru,2025-10-23
81,Lonely,RM,806,https://www.last.fm/music/RM/_/Lonely,Peru,2025-10-23
82,Butter,BTS,801,https://www.last.fm/music/BTS/_/Butter,Peru,2025-10-23
83,Me Rehúso,Danny Ocean,801,https://www.last.fm/music/Danny+Ocean/_/Me+Reh%C3%BAso,Peru,2025-10-23
84,BIRDS OF A FEATHER,Billie Eilish,790,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,Peru,2025-10-23
85,Interlude: What Are You Doing Now,BTS,789,https://www.last.fm/music/BTS/_/Interlude:+What+Are+You+Doing+Now,Peru,2025-10-23
86,See You Again (feat. Kali Uchis),"Tyler, The Creator",777,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)",Peru,2025-10-23
87,Intro: 2 COOL 4 SKOOL,BTS,774,https://www.last.fm/music/BTS/_/Intro:+2+COOL+4+SKOOL,Peru,2025-10-23
88,Spaghetti,LE SSERAFIM,773,https://www.last.fm/music/LE+SSERAFIM/_/Spaghetti,Peru,2025-10-23
89,Moscow Mule,Bad Bunny,772,https://www.last.fm/music/Bad+Bunny/_/Moscow+Mule,Peru,2025-10-23
90,I’ll Be There,Jin,769,https://www.last.fm/music/Jin/_/I%E2%80%99ll+Be+There,Peru,2025-10-23
