rank,track_name,artist,listeners,url,pct_listeners
1,Don’t Say You Love Me,Jin,2242,https://www.last.fm/music/Jin/_/Don%E2%80%99t+Say+You+Love+Me,1.37
2,Who,Jimin,1807,https://www.last.fm/music/Jimin/_/Who,1.1
3,Killin' It Girl (feat. GloRilla),j-hope,1780,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla),1.09
4,Mona Lisa,j-hope,1622,https://www.last.fm/music/j-hope/_/Mona+Lisa,0.99
5,Life Goes On,BTS,1600,https://www.last.fm/music/BTS/_/Life+Goes+On,0.98
6,Gabriela,KATSEYE,1570,https://www.last.fm/music/KATSEYE/_/Gabriela,0.96
7,QLOO*,Young Cister,1568,https://www.last.fm/music/Young+Cister/_/QLOO%2A,0.96
8,Haegeum,Agust D,1529,https://www.last.fm/music/Agust+D/_/Haegeum,0.93
9,The Fate of Ophelia,Taylor Swift,1515,https://www.last.fm/music/Taylor+Swift/_/The+Fate+of+Ophelia,0.92
10,Wild Flower (with youjeen),RM,1511,https://www.last.fm/music/RM/_/Wild+Flower+(with+youjeen),0.92
11,Seven (feat. Latto) (Explicit Ver.),Jung Kook,1375,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto)+(Explicit+Ver.),0.84
12,BAILE INoLVIDABLE,Bad Bunny,1312,https://www.last.fm/music/Bad+Bunny/_/BAILE+INoLVIDABLE,0.8
13,Running Wild,Jin,1296,https://www.last.fm/music/Jin/_/Running+Wild,0.79
14,Standing Next to You,Jung Kook,1296,https://www.last.fm/music/Jung+Kook/_/Standing+Next+to+You,0.79
15,EoO,Bad Bunny,1271,https://www.last.fm/music/Bad+Bunny/_/EoO,0.78
16,Winter Ahead (with PARK HYO SHIN),V,1269,https://www.last.fm/music/V/_/Winter+Ahead+(with+PARK+HYO+SHIN),0.77
17,FRI(END)S,V,1264,https://www.last.fm/music/V/_/FRI(END)S,0.77
18,Gnarly,KATSEYE,1227,https://www.last.fm/music/KATSEYE/_/Gnarly,0.75
19,Yes or No,Jung Kook,1224,https://www.last.fm/music/Jung+Kook/_/Yes+or+No,0.75
20,FAKE LOVE,BTS,1213,https://www.last.fm/music/BTS/_/FAKE+LOVE,0.74
21,Tears,Sabrina Carpenter,1181,https://www.last.fm/music/Sabrina+Carpenter/_/Tears,0.72
22,PIXELATED KISSES,Joji,1173,https://www.last.fm/music/Joji/_/PIXELATED+KISSES,0.72
23,DNA,BTS,1131,https://www.last.fm/music/BTS/_/DNA,0.69
24,Qué Pasaría...,Rauw Alejandro,1117,https://www.last.fm/music/Rauw+Alejandro/_/Qu%C3%A9+Pasar%C3%ADa...,0.68
25,Golden,HUNTR/X,1115,https://www.last.fm/music/HUNTR%2FX/_/Golden,0.68
26,Opalite,Taylor Swift,1112,https://www.last.fm/music/Taylor+Swift/_/Opalite,0.68
27,3D (feat. Jack Harlow),Jung Kook,1109,https://www.last.fm/music/Jung+Kook/_/3D+(feat.+Jack+Harlow),0.68
28,Like Crazy,Jimin,1101,https://www.last.fm/music/Jimin/_/Like+Crazy,0.67
29,VOY A LLeVARTE PA PR,Bad Bunny,1071,https://www.last.fm/music/Bad+Bunny/_/VOY+A+LLeVARTE+PA+PR,0.65
30,Sweet Dreams (feat. Miguel),j-hope,1060,https://www.last.fm/music/j-hope/_/Sweet+Dreams+(feat.+Miguel),0.65
31,Run BTS,BTS,1053,https://www.last.fm/music/BTS/_/Run+BTS,0.64
32,VeLDÁ,Bad Bunny,1051,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81,0.64
33,Killin' It Girl (Solo Version),j-hope,1047,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version),0.64
34,Rope It,Jin,1038,https://www.last.fm/music/Jin/_/Rope+It,0.63
35,Loser (feat. YENA),Jin,1035,https://www.last.fm/music/Jin/_/Loser+(feat.+YENA),0.63
36,Killin' It Girl (feat. GloRilla) (Clean Version),j-hope,1022,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(feat.+GloRilla)+(Clean+Version),0.62
37,Stop The Rain (TABLO X RM),Tablo,1015,https://www.last.fm/music/Tablo/_/Stop+The+Rain+(TABLO+X+RM),0.62
38,Dynamite,BTS,1006,https://www.last.fm/music/BTS/_/Dynamite,0.61
39,Nothing Without Your Love,Jin,1005,https://www.last.fm/music/Jin/_/Nothing+Without+Your+Love,0.61
40,Love Me Again,V,988,https://www.last.fm/music/V/_/Love+Me+Again,0.6
41,Seven (feat. Latto),Jung Kook,975,https://www.last.fm/music/Jung+Kook/_/Seven+(feat.+Latto),0.59
42,MORE,j-hope,956,https://www.last.fm/music/j-hope/_/MORE,0.58
43,Please Don't Change (feat. DJ Snake),Jung Kook,947,https://www.last.fm/music/Jung+Kook/_/Please+Don%27t+Change+(feat.+DJ+Snake),0.58
44,Sienna,The Marías,944,https://www.last.fm/music/The+Mar%C3%ADas/_/Sienna,0.58
45,Shiny,Easykid,932,https://www.last.fm/music/Easykid/_/Shiny,0.57
46,Super Tuna,Jin,931,https://www.last.fm/music/Jin/_/Super+Tuna,0.57
47,LOST!,RM,924,https://www.last.fm/music/RM/_/LOST%21,0.56
48,Interlude : Showtime,Jimin,918,https://www.last.fm/music/Jimin/_/Interlude+:+Showtime,0.56
49,i wonder... (with Jung Kook of BTS),j-hope,914,https://www.last.fm/music/j-hope/_/i+wonder...+(with+Jung+Kook+of+BTS),0.56
50,Be Mine,Jimin,909,https://www.last.fm/music/Jimin/_/Be+Mine,0.55
51,Background,Jin,909,https://www.last.fm/music/Jin/_/Background,0.55
52,Manchild,Sabrina Carpenter,903,https://www.last.fm/music/Sabrina+Carpenter/_/Manchild,0.55
53,Permission to Dance,BTS,892,https://www.last.fm/music/BTS/_/Permission+to+Dance,0.54
54,Set Me Free Pt.2,Jimin,877,https://www.last.fm/music/Jimin/_/Set+Me+Free+Pt.2,0.54
55,KLOuFRENS,Bad Bunny,870,https://www.last.fm/music/Bad+Bunny/_/KLOuFRENS,0.53
56,Boy With Luv (feat. Halsey),BTS,859,https://www.last.fm/music/BTS/_/Boy+With+Luv+(feat.+Halsey),0.52
57,Khé?,Rauw Alejandro,857,https://www.last.fm/music/Rauw+Alejandro/_/Kh%C3%A9%3F,0.52
58,Heart on the Window (with WENDY),Jin,852,https://www.last.fm/music/Jin/_/Heart+on+the+Window+(with+WENDY),0.52
59,Interlude,BTS,850,https://www.last.fm/music/BTS/_/Interlude,0.52
60,NUEVAYoL,Bad Bunny,850,https://www.last.fm/music/Bad+Bunny/_/NUEVAYoL,0.52
61,Change pt.2,RM,844,https://www.last.fm/music/RM/_/Change+pt.2,0.51
62,Es un Secreto,Plan B,844,https://www.last.fm/music/Plan+B/_/Es+un+Secreto,0.51
63,Still With You,Jung Kook,843,https://www.last.fm/music/Jung+Kook/_/Still+With+You,0.51
64,Daechwita,Agust D,841,https://www.last.fm/music/Agust+D/_/Daechwita,0.51
65,Somebody,Jung Kook,838,https://www.last.fm/music/Jung+Kook/_/Somebody,0.51
66,Lonely,RM,837,https://www.last.fm/music/RM/_/Lonely,0.51
67,Touch,KATSEYE,830,https://www.last.fm/music/KATSEYE/_/Touch,0.51
68,Intro,j-hope,828,https://www.last.fm/music/j-hope/_/Intro,0.51
69,Blood Sweat & Tears,BTS,826,https://www.last.fm/music/BTS/_/Blood+Sweat+&+Tears,0.5
70,Permission to Dance - Live,BTS,821,https://www.last.fm/music/BTS/_/Permission+to+Dance+-+Live,0.5
71,Interlude: What Are You Doing Now,BTS,818,https://www.last.fm/music/BTS/_/Interlude:+What+Are+You+Doing+Now,0.5
72,Duvet,bôa,805,https://www.last.fm/music/b%C3%B4a/_/Duvet,0.49
73,"To Me, Today",Jin,800,"https://www.last.fm/music/Jin/_/To+Me,+Today",0.49
74,BIRDS OF A FEATHER,Billie Eilish,797,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER,0.49
75,"Good Luck, Babe!",Chappell Roan,796,"https://www.last.fm/music/Chappell+Roan/_/Good+Luck,+Babe%21",0.49
76,Me Rehúso,Danny Ocean,792,https://www.last.fm/music/Danny+Ocean/_/Me+Reh%C3%BAso,0.48
77,MOJABI GHOST,Tainy,787,https://www.last.fm/music/Tainy/_/MOJABI+GHOST,0.48
78,Slow Dancing,V,784,https://www.last.fm/music/V/_/Slow+Dancing,0.48
79,With the Clouds,Jin,782,https://www.last.fm/music/Jin/_/With+the+Clouds,0.48
80,back to friends,sombr,777,https://www.last.fm/music/sombr/_/back+to+friends,0.47
81,= (Equal Sign),j-hope,774,https://www.last.fm/music/j-hope/_/=+(Equal+Sign),0.47
82,DtMF,Bad Bunny,774,https://www.last.fm/music/Bad+Bunny/_/DtMF,0.47
83,Butter,BTS,768,https://www.last.fm/music/BTS/_/Butter,0.47
84,No One Noticed,The Marías,768,https://www.last.fm/music/The+Mar%C3%ADas/_/No+One+Noticed,0.47
85,Slow Dance (feat. Sofia Carson),Jimin,755,https://www.last.fm/music/Jimin/_/Slow+Dance+(feat.+Sofia+Carson),0.46
86,Moscow Mule,Bad Bunny,753,https://www.last.fm/music/Bad+Bunny/_/Moscow+Mule,0.46
87,Intro: 2 COOL 4 SKOOL,BTS,750,https://www.last.fm/music/BTS/_/Intro:+2+COOL+4+SKOOL,0.46
88,SLOW DANCING IN THE DARK,Joji,750,https://www.last.fm/music/Joji/_/SLOW+DANCING+IN+THE+DARK,0.46
89,Spring Day,BTS,748,https://www.last.fm/music/BTS/_/Spring+Day,0.46
90,Eyes Closed (with Zayn),JISOO,746,https://www.last.fm/music/JISOO/_/Eyes+Closed+(with+Zayn),0.46
91,ㅠㅠ (Credit Roll),RM,741,https://www.last.fm/music/RM/_/%E3%85%A0%E3%85%A0+(Credit+Roll),0.45
92,El Amar y el Querer,José José,740,https://www.last.fm/music/Jos%C3%A9+Jos%C3%A9/_/El+Amar+y+el+Querer,0.45
93,Another Level,Jin,738,https://www.last.fm/music/Jin/_/Another+Level,0.45
94,Ditto,NewJeans,729,https://www.last.fm/music/NewJeans/_/Ditto,0.44
95,Blood Sweat & Tears - Live,BTS,725,https://www.last.fm/music/BTS/_/Blood+Sweat+&+Tears+-+Live,0.44
96,Closer to You (feat. Major Lazer),Jung Kook,724,https://www.last.fm/music/Jung+Kook/_/Closer+to+You+(feat.+Major+Lazer),0.44
97,Dimple,BTS,724,https://www.last.fm/music/BTS/_/Dimple,0.44
98,When Did You Get Hot?,Sabrina Carpenter,723,https://www.last.fm/music/Sabrina+Carpenter/_/When+Did+You+Get+Hot%3F,0.44
99,NEURON (with Gaeko & YOON MIRAE),j-hope,723,https://www.last.fm/music/j-hope/_/NEURON+(with+Gaeko+&+YOON+MIRAE),0.44
100,Espresso,Sabrina Carpenter,719,https://www.last.fm/music/Sabrina+Carpenter/_/Espresso,0.44
101,Rebirth (Intro),Jimin,718,https://www.last.fm/music/Jimin/_/Rebirth+(Intro),0.44
102,I’ll Be There,Jin,718,https://www.last.fm/music/Jin/_/I%E2%80%99ll+Be+There,0.44
103,Hate You,Jung Kook,717,https://www.last.fm/music/Jung+Kook/_/Hate+You,0.44
104,LA CANCIÓN,J Balvin,717,https://www.last.fm/music/J+Balvin/_/LA+CANCI%C3%93N,0.44
105,"Intro: O!RUL8,2?",BTS,716,"https://www.last.fm/music/BTS/_/Intro:+O%21RUL8,2%3F",0.44
106,Otro Atardecer,Bad Bunny,714,https://www.last.fm/music/Bad+Bunny/_/Otro+Atardecer,0.44
107,Borro Cassette,Maluma,714,https://www.last.fm/music/Maluma/_/Borro+Cassette,0.44
108,See You Again (feat. Kali Uchis),"Tyler, The Creator",713,"https://www.last.fm/music/Tyler,+The+Creator/_/See+You+Again+(feat.+Kali+Uchis)",0.43
109,Closer Than This,Jimin,711,https://www.last.fm/music/Jimin/_/Closer+Than+This,0.43
110,Pied Piper,BTS,709,https://www.last.fm/music/BTS/_/Pied+Piper,0.43
111,"Closer (with Paul Blanco, Mahalia)",RM,706,"https://www.last.fm/music/RM/_/Closer+(with+Paul+Blanco,+Mahalia)",0.43
112,Elizabeth Taylor,Taylor Swift,702,https://www.last.fm/music/Taylor+Swift/_/Elizabeth+Taylor,0.43
113,Falling,Jin,701,https://www.last.fm/music/Jin/_/Falling,0.43
114,The Astronaut,Jin,697,https://www.last.fm/music/Jin/_/The+Astronaut,0.43
115,GO!,CORTIS,695,https://www.last.fm/music/CORTIS/_/GO%21,0.42
116,CRAZY,LE SSERAFIM,695,https://www.last.fm/music/LE+SSERAFIM/_/CRAZY,0.42
117,Candy,Plan B,691,https://www.last.fm/music/Plan+B/_/Candy,0.42
118,COQUETA,Fuerza Regida,690,https://www.last.fm/music/Fuerza+Regida/_/COQUETA,0.42
119,Intro : Dt sugA (Feat. DJ Friz),Agust D,685,https://www.last.fm/music/Agust+D/_/Intro+:+Dt+sugA+(Feat.+DJ+Friz),0.42
120,Rainy Days,V,679,https://www.last.fm/music/V/_/Rainy+Days,0.41
121,La Plena - W Sound 05,W Sound,678,https://www.last.fm/music/W+Sound/_/La+Plena+-+W+Sound+05,0.41
122,Kiss Me More (feat. SZA),Doja Cat,678,https://www.last.fm/music/Doja+Cat/_/Kiss+Me+More+(feat.+SZA),0.41
123,JUMP,BLACKPINK,677,https://www.last.fm/music/BLACKPINK/_/JUMP,0.41
124,Still Life (with Anderson .Paak),RM,672,https://www.last.fm/music/RM/_/Still+Life+(with+Anderson+.Paak),0.41
125,Glimpse of Us,Joji,672,https://www.last.fm/music/Joji/_/Glimpse+of+Us,0.41
